chromosome	start	stop	abspos	length	gc	n_good
chr1	0	14162233	7081116	14162233	0.485181	213318
chr1	14162233	27382184	20772208	13219951	0.473007	213318
chr1	27382184	38550236	32966210	11168052	0.470651	213319
chr1	38550236	55768724	47159480	17218488	0.451368	213319
chr1	55768724	67940820	61854772	12172096	0.408516	213318
chr1	67940820	79160729	73550774	11219909	0.372031	213323
chr1	79160729	86982135	83071432	7821406	0.368137	213318
chr1	86982135	96283209	91632672	9301074	0.395795	213319
chr1	96283209	104492031	100387620	8208822	0.366837	213318
chr1	104492031	111805851	108148941	7313820	0.379329	213318
chr1	111805851	121360292	116583071	9554441	0.414604	213324
chr1	121360292	157821550	139590921	36461258	0.431783	213319
chr1	157821550	166278406	162049978	8456856	0.400491	213318
chr1	166278406	178651217	172464811	12372811	0.401439	213318
chr1	178651217	189001364	183826290	10350147	0.390441	213318
chr1	189001364	194918012	191959688	5916648	0.349897	213318
chr1	194918012	205871369	200394690	10953357	0.403513	213318
chr1	205871369	215680294	210775831	9808925	0.416378	213327
chr1	215680294	226658664	221169479	10978370	0.410321	213319
chr1	226658664	237168477	231913570	10509813	0.438258	213321
chr1	237168477	249250621	243209549	12082144	0.400554	213303
chr2	0	7721088	253111165	7721088	0.416716	215225
chr2	7721088	16337262	261279796	8616174	0.42079	215225
chr2	16337262	22160665	268499584	5823403	0.406388	215225
chr2	22160665	35690063	278175985	13529398	0.409409	215226
chr2	35690063	45847159	290019232	10157096	0.405875	215225
chr2	45847159	57380575	300864488	11533416	0.391201	215226
chr2	57380575	66145050	311013433	8764475	0.404821	215225
chr2	66145050	76533677	320589984	10388627	0.412311	215225
chr2	76533677	83905375	329470147	7371698	0.359368	215226
chr2	83905375	92307611	337357114	8402236	0.419647	215226
chr2	92307611	105190243	347999548	12882632	0.412279	215225
chr2	105190243	116751559	360221522	11561316	0.420305	215230
chr2	116751559	123929949	369591375	7178390	0.411492	215225
chr2	123929949	130554053	376492622	6624104	0.404338	215225
chr2	130554053	140680498	384867896	10126445	0.402721	215225
chr2	140680498	150761408	394971574	10080910	0.369227	215225
chr2	150761408	158075277	403668963	7313869	0.370124	215227
chr2	158075277	169288126	412932322	11212849	0.375534	215225
chr2	169288126	181944939	424867153	12656813	0.401256	215225
chr2	181944939	190908991	435677586	8964052	0.361567	215225
chr2	190908991	199686808	444548520	8777817	0.364586	215226
chr2	199686808	211727408	454957729	12040600	0.40178	215231
chr2	211727408	222457013	466342831	10729605	0.40484	215226
chr2	222457013	230593631	475775943	8136618	0.392069	215225
chr2	230593631	243199373	486147123	12605742	0.468369	215223
chr3	0	10686962	497793475	10686962	0.393358	215744
chr3	10686962	21951655	508769302	11264693	0.410117	215758
chr3	21951655	30398020	518624831	8446365	0.382025	215744
chr3	30398020	40652754	527975381	10254734	0.399837	215755
chr3	40652754	58216604	541884673	17563850	0.445693	215744
chr3	58216604	70811849	556964220	12595245	0.397566	215744
chr3	70811849	77998228	566855032	7186379	0.393884	215753
chr3	77998228	86348433	574623324	8350205	0.350899	215746
chr3	86348433	95490948	583369684	9142515	0.358281	215744
chr3	95490948	103531271	591961103	8040323	0.366812	215747
chr3	103531271	110337342	599384300	6806071	0.367378	215744
chr3	110337342	122771632	609004481	12434290	0.383768	215744
chr3	122771632	137401274	622536447	14629642	0.435017	215744
chr3	137401274	146665098	634483180	9263824	0.385459	215745
chr3	146665098	154995941	643280513	8330843	0.375749	215744
chr3	154995941	164154150	652025039	9158209	0.370923	215744
chr3	164154150	175835740	662444939	11681590	0.367512	215744
chr3	175835740	186495027	673615377	10659287	0.40139	215744
chr3	186495027	198022430	684708722	11527403	0.416993	215715
chr4	0	12414071	696679459	12414071	0.460397	208704
chr4	12414071	22042117	707700518	9628046	0.385814	208701
chr4	22042117	29016497	716001731	6974380	0.38749	208701
chr4	29016497	34604233	722282789	5587736	0.347028	208710
chr4	34604233	43791149	729670115	9186916	0.381998	208701
chr4	43791149	54236157	739486077	10445008	0.380216	208701
chr4	54236157	60838089	748009547	6601932	0.383343	208701
chr4	60838089	67144370	754463653	6306281	0.349306	208701
chr4	67144370	74771084	761430151	7626714	0.369835	208701
chr4	74771084	84592335	770154133	9821251	0.393731	208703
chr4	84592335	97174038	781355610	12581703	0.375884	208701
chr4	97174038	107324481	792721683	10150443	0.371406	208701
chr4	107324481	115461481	801865405	8137000	0.375486	208701
chr4	115461481	122450812	809428570	6989331	0.358098	208701
chr4	122450812	129316721	816356190	6865909	0.368981	208703
chr4	129316721	134958653	822610111	5641932	0.356121	208702
chr4	134958653	142540233	829221867	7581580	0.361812	208701
chr4	142540233	152773814	838129447	10233581	0.384311	208703
chr4	152773814	160469263	847093962	7695449	0.385682	208701
chr4	160469263	168235903	854825007	7766640	0.364423	208703
chr4	168235903	177309740	863245245	9073837	0.369577	208702
chr4	177309740	182552727	870403657	5242987	0.363188	208702
chr4	182552727	191154276	877325925	8601549	0.413618	208682
chr5	0	6575035	884914217	6575035	0.443942	213126
chr5	6575035	16034078	892931256	9459043	0.395898	213126
chr5	16034078	25019197	902153337	8985119	0.364998	213141
chr5	25019197	30450907	909361752	5431710	0.348275	213126
chr5	30450907	40368148	917036227	9917241	0.391582	213126
chr5	40368148	50830377	927225962	10462229	0.375324	213126
chr5	50830377	58236258	936160017	7405881	0.388623	213126
chr5	58236258	67915952	944702805	9679694	0.39109	213126
chr5	67915952	81198580	956183966	13282628	0.408869	213127
chr5	81198580	89020114	966736047	7821534	0.36104	213128
chr5	89020114	98581920	975427717	9561806	0.369259	213137
chr5	98581920	104544327	983189823	5962407	0.356569	213131
chr5	104544327	113264300	990531013	8719973	0.370992	213131
chr5	113264300	121416474	998967087	8152174	0.373563	213128
chr5	121416474	130137434	1007403654	8720960	0.38035	213137
chr5	130137434	143396456	1018393645	13259022	0.433585	213126
chr5	143396456	153957786	1030303821	10561330	0.402256	213126
chr5	153957786	162105541	1039658363	8147755	0.398844	213128
chr5	162105541	169578225	1047468583	7472684	0.373335	213126
chr5	169578225	180915260	1056873442	11337035	0.457383	213090
chr6	0	9567763	1067325841	9567763	0.426332	207903
chr6	9567763	18081803	1076366743	8514040	0.417104	207897
chr6	18081803	26828551	1084997137	8746748	0.393141	207897
chr6	26828551	42468342	1097190406	15639791	0.440308	207902
chr6	42468342	50975178	1109263720	8506836	0.393126	207899
chr6	50975178	62031686	1119045392	11056508	0.382732	207898
chr6	62031686	71754367	1129434986	9722681	0.358697	207897
chr6	71754367	80571789	1138705038	8817422	0.374726	207909
chr6	80571789	87415335	1146535522	6843546	0.377972	207897
chr6	87415335	94705073	1153602164	7289738	0.374272	207897
chr6	94705073	101595235	1160692114	6890162	0.366206	207897
chr6	101595235	110414597	1168546876	8819362	0.380892	207897
chr6	110414597	118778581	1177138549	8363984	0.377821	207897
chr6	118778581	129867617	1186865059	11089036	0.369502	207897
chr6	129867617	139760088	1197355812	9892471	0.395217	207898
chr6	139760088	149536776	1207190392	9776688	0.377476	207897
chr6	149536776	160695758	1217658227	11158982	0.409665	207904
chr6	160695758	171115067	1228447372	10419309	0.434033	207874
chr7	0	12604401	1239959227	12604401	0.426688	208894
chr7	12604401	22099013	1251008734	9494612	0.370657	208894
chr7	22099013	33810582	1261611824	11711569	0.416109	208895
chr7	33810582	45313601	1273219118	11503019	0.411785	208896
chr7	45313601	52214083	1282420869	6900482	0.399784	208894
chr7	52214083	57989751	1288758944	5775668	0.401247	208894
chr7	57989751	68554075	1296928940	10564324	0.419921	208894
chr7	68554075	83454128	1309661128	14900053	0.414599	208894
chr7	83454128	92681325	1321724753	9227197	0.364073	208894
chr7	92681325	106277469	1333136424	13596144	0.418562	208894
chr7	106277469	115056258	1344323890	8778789	0.371626	208897
chr7	115056258	123092055	1352731183	8035797	0.363426	208894
chr7	123092055	135217494	1362811801	12125439	0.405362	208894
chr7	135217494	145573210	1374052379	10355716	0.397612	208894
chr7	145573210	159138663	1386012963	13565453	0.437751	208902
chr8	0	11111970	1398351675	11111970	0.427793	209626
chr8	11111970	21179724	1408941537	10067754	0.401071	209626
chr8	21179724	30844221	1418807662	9664497	0.424213	209626
chr8	30844221	38738729	1427587165	7894508	0.398765	209626
chr8	38738729	49877818	1437103963	11139089	0.422437	209626
chr8	49877818	58155894	1446812546	8278076	0.391817	209626
chr8	58155894	65915560	1454831417	7759666	0.384889	209626
chr8	65915560	76849349	1464178144	10933789	0.39096	209626
chr8	76849349	83375944	1472908336	6526595	0.36657	209627
chr8	83375944	90174637	1479570980	6798693	0.361724	209626
chr8	90174637	101840475	1488803246	11665838	0.396195	209626
chr8	101840475	111409926	1499420890	9569451	0.390224	209632
chr8	111409926	120197897	1508599601	8787971	0.360546	209643
chr8	120197897	128063082	1516926179	7865185	0.401424	209628
chr8	128063082	136158630	1524906546	8095548	0.408573	209626
chr8	136158630	146364022	1534057016	10205392	0.457865	209607
chr9	0	10658382	1544488903	10658382	0.399057	207258
chr9	10658382	18324230	1553651018	7665848	0.376768	207264
chr9	18324230	25531316	1561087485	7207086	0.37109	207260
chr9	25531316	32373343	1568112041	6842027	0.362529	207259
chr9	32373343	42504875	1576598821	10131532	0.418644	207258
chr9	42504875	71297094	1596060696	28792219	0.397801	207259
chr9	71297094	81384553	1615500535	10087459	0.389	207258
chr9	81384553	87222108	1623463042	5837555	0.386965	207258
chr9	87222108	96109552	1630825542	8887444	0.426913	207258
chr9	96109552	106724384	1640576680	10614832	0.401026	207268
chr9	106724384	114270481	1649657144	7546097	0.40403	207260
chr9	114270481	122850249	1657720077	8579768	0.401822	207259
chr9	122850249	141213431	1671191552	18363182	0.496997	207243
chr10	0	8887914	1684817100	8887914	0.41792	214351
chr10	8887914	22351496	1695992848	13463582	0.400156	214349
